"INCIDENT_ID","INCIDENT_DT","FACILITY"
"3274","02/17/2016 08:20:00 AM",
"3275","02/17/2016 11:25:00 AM",
"3276","02/17/2016 08:55:00 PM",
"3277","02/18/2016 06:00:00 AM",
"3278","02/18/2016 02:48:00 PM",
"3279","02/18/2016 09:05:00 PM",
"3280","02/18/2016 01:20:00 PM",
"3281","02/18/2016 05:20:00 PM",
"3282","02/18/2016 09:44:00 AM",
"3283","02/18/2016 10:15:00 PM",
"3284","02/18/2016 05:20:00 AM",
"3286","02/20/2016 09:20:00 AM",
"3288","02/20/2016 07:20:00 PM",
"3289","02/21/2016 08:28:00 AM",
"3290","02/21/2016 05:55:00 PM",
"3291","02/21/2016 08:45:00 PM",
"3292","02/21/2016 09:15:00 PM",
"3293","02/21/2016 01:20:00 PM",
"3294","02/19/2016 05:45:00 PM",
"3295","02/19/2016 06:43:00 PM",
"3296","02/19/2016 07:30:00 PM",
"3297","02/20/2016 12:40:00 PM",
"3298","02/20/2016 08:55:00 PM",
"3299","02/21/2016 12:20:00 PM",
"3300","02/11/2016 07:00:00 PM",
"3301","02/21/2016 12:10:00 PM",
"3302","02/17/2016 10:31:00 AM",
"3303","02/21/2016 12:25:00 PM",
"3304","02/19/2016 10:55:00 AM",
"3305","02/19/2016 10:05:00 AM",
"3306","02/20/2016 02:20:00 PM",
"3307","02/19/2016 10:00:00 PM",
"3308","02/21/2016 06:30:00 AM",
"3309","02/21/2016 06:30:00 PM",
"3310","02/20/2016 06:57:00 PM",
"3311","02/19/2016 05:25:00 PM",
"3312","02/18/2016 05:54:00 AM",
"3313","02/22/2016 08:55:00 AM",
"3314","02/19/2016 11:05:00 AM",
"3315","02/22/2016 02:50:00 PM",
"3316","02/12/2016 01:00:00 AM",
"3317","02/22/2016 08:58:00 PM",
"3318","02/22/2016 06:50:00 AM",
"3319","02/20/2016 01:50:00 PM",
"3320","02/22/2016 04:25:00 PM",
"3321","02/21/2016 02:05:00 PM",
"3322","02/21/2016 02:30:00 PM",
"3323","02/21/2016 09:55:00 AM",
"3324","02/22/2016 07:10:00 PM",
"3325","02/22/2016 09:58:00 AM",
"3326","02/22/2016 08:05:00 PM",
"3327","02/21/2016 08:25:00 PM",
"3328","02/22/2016 04:55:00 PM",
"3329","02/22/2016 08:50:00 PM",
"3331","02/22/2016 12:45:00 PM",
"3332","02/22/2016 07:50:00 PM",
"3333","02/20/2016 07:20:00 PM",
"3334","02/20/2016 05:15:00 PM",
"3335","02/18/2016 09:55:00 AM",
"3336","02/20/2016 04:45:00 PM",
"3337","02/23/2016 04:00:00 PM",
"3338","02/22/2016 11:08:00 AM",
"3339","02/22/2016 07:45:00 AM",
"3340","02/23/2016 06:15:00 PM",
"3341","02/23/2016 08:55:00 PM",
"3342","02/23/2016 11:00:00 PM",
"3343","02/19/2016 08:40:00 AM",
"3344","02/23/2016 05:40:00 PM",
"3345","02/23/2016 01:00:00 PM",
"3346","02/23/2016 10:05:00 PM",
"3347","02/23/2016 06:00:00 PM",
"3348","02/23/2016 04:45:00 PM",
"3349","02/23/2016 02:40:00 PM",
"3350","02/20/2016 08:25:00 PM",
"3351","02/20/2016 06:00:00 PM",
"3352","02/24/2016 10:25:00 AM",
"3353","02/24/2016 08:28:00 AM",
"3354","02/24/2016 11:00:00 AM",
"3355","02/24/2016 05:25:00 PM",
"3356","02/24/2016 02:54:00 PM",
"3357","02/24/2016 10:45:00 AM",
"3358","02/24/2016 05:15:00 PM",
"3359","02/24/2016 07:30:00 PM",
"3360","02/24/2016 11:45:00 AM",
"3361","02/24/2016 10:55:00 AM",
"3362","02/24/2016 12:10:00 PM",
"3363","02/23/2016 09:05:00 AM",
"3364","02/25/2016 02:50:00 PM",
"3365","02/25/2016 07:35:00 AM",
"3366","02/25/2016 10:07:00 AM",
"3367","02/25/2016 08:50:00 PM",
"3368","02/25/2016 11:31:00 PM",
"3369","02/25/2016 08:08:00 AM",
"3370","02/25/2016 08:30:00 PM",
"3371","02/25/2016 03:00:00 PM",
"3372","02/25/2016 05:25:00 AM",
"3373","02/25/2016 12:50:00 PM",
"3374","02/25/2016 07:25:00 PM",
"3375","02/25/2016 10:28:00 AM",
"3376","02/24/2016 01:55:00 PM",
"3377","02/25/2016 05:30:00 AM",
"3378","02/25/2016 01:55:00 PM",
"3379","02/25/2016 02:25:00 PM",
"3380","02/25/2016 09:00:00 PM",
"3381","02/25/2016 06:05:00 PM",
"3382","02/23/2016 11:46:00 AM",
"3383","02/19/2016 07:46:00 PM",
"3384","02/20/2016 09:13:00 AM",
"3385","02/27/2016 06:18:00 AM",
"3386","02/26/2016 11:45:00 AM",
"3387","02/28/2016 03:28:00 PM",
"3388","02/27/2016 12:00:00 AM",
"3389","02/28/2016 08:35:00 AM",
"3390","02/26/2016 06:05:00 AM",
"3391","02/26/2016 08:23:00 AM",
"3392","02/26/2016 08:10:00 AM",
"3393","02/26/2016 09:30:00 AM",
"3394","02/26/2016 09:20:00 PM",
"3395","02/26/2016 08:35:00 PM",
"3396","02/26/2016 12:05:00 PM",
"3397","02/26/2016 06:26:00 PM",
"3398","02/27/2016 02:30:00 PM",
"3399","02/27/2016 08:30:00 PM",
"3400","02/28/2016 09:45:00 AM",
"3401","02/26/2016 08:00:00 PM",
"3402","02/27/2016 10:58:00 AM",
"3403","02/28/2016 11:00:00 AM",
"3404","02/28/2016 12:20:00 PM",
"3405","02/26/2016 05:00:00 AM",
"3406","02/27/2016 08:10:00 PM",
"3407","02/28/2016 01:15:00 PM",
"3408","02/26/2016 05:40:00 AM",
"3409","02/27/2016 12:15:00 PM",
